ID;collection;kingdom;phylum;class;order;family;genus;host;compartment
LjRoot272;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot273;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot274;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot275;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot276;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot277;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot278;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot279;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot28;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Rhizobacter;Lotus japonicus;Root
LjRoot280;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot281;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot282;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Lotus japonicus;Root
LjRoot283;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Lotus japonicus;Root
LjRoot284;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Lotus japonicus;Root
LjRoot285;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot286;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot287;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Lotus japonicus;Root
LjRoot288;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot289;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Lotus japonicus;Root
LjRoot29;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot290;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot291;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot293;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;Lotus japonicus;Root
LjRoot294;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot295;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;Lotus japonicus;Root
LjRoot296;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Lotus japonicus;Root
LjRoot297;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Lotus japonicus;Root
LjRoot298;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lotus japonicus;Root
LjRoot299;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot3;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Lotus japonicus;Root
LjRoot30;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot300;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot301;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Lotus japonicus;Root
LjRoot302;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot303;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot304;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot305;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot306;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Lotus japonicus;Root
LjRoot307;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
